place_id,name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,index_jan,index_feb,index_mar,index_apr,index_may,index_jun,index_jul,index_aug,index_sep,index_oct,index_nov,index_dec
n6228259772,n6228259772 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n6229199391,n6229199391 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n6229200943,n6229200943 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n6231259831,n6231259831 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6231259833,n6231259833 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6231259837,n6231259837 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6231259869,n6231259869 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6231259873,n6231259873 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6234442212,n6234442212 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n6237090886,n6237090886 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
