id,name,state,lat,lon,kind,population,has_market,has_coldstore
n10316796037,n10316796037,,23.602371,91.815429,junction,0,0,0
n10536208468,n10536208468,,24.74062,92.43106,junction,0,0,0
n10536208503,n10536208503,,24.744296,92.424042,junction,0,0,0
n10536208527,n10536208527,,24.748919,92.422936,junction,0,0,0
n10536208542,n10536208542,,24.754768,92.414919,junction,0,0,0
n10536208546,n10536208546,,24.757622,92.413192,junction,0,0,0
n10536274640,n10536274640,,23.600004,91.806401,junction,0,0,0
n10536274675,n10536274675,,23.593877,91.800314,junction,0,0,0
n10536337108,n10536337108,,23.496628,91.691394,junction,0,0,0
n10536341847,n10536341847,,23.505763,91.699349,junction,0,0,0
n10538897392,n10538897392,,23.615795,91.819658,junction,0,0,0
n10542401530,n10542401530,,23.508359,91.704105,junction,0,0,0
n10542441849,n10542441849,,24.590978,92.41358,junction,0,0,0
n10542636435,n10542636435,,23.52023,91.718502,junction,0,0,0
n10542793530,n10542793530,,24.584414,92.487455,junction,0,0,0
n10548372060,n10548372060,,23.519924,91.728115,junction,0,0,0
n10548518804,n10548518804,,24.142873,92.123503,junction,0,0,0
n10548518805,n10548518805,,24.142145,92.123722,junction,0,0,0
n10548663503,n10548663503,,23.676189,91.360936,junction,0,0,0
n10548664908,n10548664908,,23.681116,91.376056,junction,0,0,0
n10557043312,n10557043312,,24.821876,92.42596,junction,0,0,0
n10558774212,n10558774212,,24.813951,92.509035,junction,0,0,0
n10559072671,n10559072671,,24.821414,92.543067,junction,0,0,0
n10559317282,n10559317282,,23.526056,91.735087,junction,0,0,0
n10561388917,n10561388917,,24.596145,92.507874,junction,0,0,0
n10564333948,n10564333948,,24.72241,92.413301,junction,0,0,0
n10564426749,n10564426749,,24.743755,92.384897,junction,0,0,0
n10564426780,n10564426780,,24.745221,92.376776,junction,0,0,0
n10570122495,n10570122495,,23.560062,91.748947,junction,0,0,0
n10570159520,n10570159520,,23.567149,91.748216,junction,0,0,0
n10570246873,n10570246873,,26.234132,91.53215,junction,0,0,0
n10570506815,n10570506815,,26.303337,91.485744,junction,0,0,0
n10572259747,n10572259747,,26.650286,92.174325,junction,0,0,0
n10577981170,n10577981170,,26.926944,93.269561,junction,0,0,0
n10577985180,n10577985180,,26.925998,93.269019,junction,0,0,0
n10578437654,n10578437654,,26.11403,91.727568,junction,0,0,0
n10578768507,n10578768507,,23.687976,91.208111,junction,0,0,0
n10581509677,n10581509677,,26.120608,91.916243,junction,0,0,0
n10581564137,n10581564137,,26.107373,92.122659,junction,0,0,0
n10581564149,n10581564149,,26.110868,92.113164,junction,0,0,0
n10594321234,n10594321234,,26.336446,92.730617,junction,0,0,0
n10594321235,n10594321235,,26.335939,92.729529,junction,0,0,0
n10596043928,n10596043928,,26.646133,92.830224,junction,0,0,0
n10596583265,n10596583265,,26.175367,92.688322,junction,0,0,0
n10606194690,n10606194690,,27.16304,93.20413,junction,0,0,0
n10606226017,n10606226017,,27.181053,93.146631,junction,0,0,0
n10610496691,n10610496691,,23.569586,91.756299,junction,0,0,0
n10610870946,n10610870946,,23.592431,91.809046,junction,0,0,0
n10611382649,n10611382649,,23.582194,91.808483,junction,0,0,0
n10613533046,n10613533046,,23.567765,91.803685,junction,0,0,0
n10613588570,n10613588570,,26.287523,92.552996,junction,0,0,0
n10613663276,n10613663276,,26.366137,92.700968,junction,0,0,0
n10614233733,n10614233733,,26.151861,91.969003,junction,0,0,0
n10614310730,n10614310730,,23.564131,91.776052,junction,0,0,0
n10617300685,n10617300685,,26.390635,91.798474,junction,0,0,0
n10618573290,n10618573290,,26.415369,91.728163,junction,0,0,0
n10628379934,n10628379934,,26.43985,91.748396,junction,0,0,0
n10635491184,n10635491184,,26.445985,91.777178,junction,0,0,0
n10635540964,n10635540964,,26.366677,91.506877,junction,0,0,0
n10636819503,n10636819503,,26.349604,91.670279,junction,0,0,0
n10637217892,n10637217892,,26.114259,92.079125,junction,0,0,0
n10637620377,n10637620377,,26.444537,91.69207,junction,0,0,0
n10747768694,n10747768694,,25.179537,94.372711,junction,0,0,0
n10845972370,n10845972370,,27.367581,92.537679,junction,0,0,0
n10845972441,n10845972441,,27.365593,92.529838,junction,0,0,0
n10846735171,n10846735171,,27.318418,93.052761,junction,0,0,0
n10855708561,n10855708561,,26.22062,91.699464,junction,0,0,0
n10862154825,n10862154825,,27.317014,92.994374,junction,0,0,0
n10862189351,n10862189351,,27.33829,93.031107,junction,0,0,0
n10862338650,n10862338650,,27.245856,93.067838,junction,0,0,0
n10867319160,n10867319160,,27.355507,92.488173,junction,0,0,0
n10867319165,n10867319165,,27.355984,92.491298,junction,0,0,0
n10870214475,n10870214475,,27.347683,92.502923,junction,0,0,0
n10880761766,n10880761766,,27.324059,92.441224,junction,0,0,0
n10891484467,n10891484467,,26.510065,89.531223,junction,0,0,0
n10892870737,n10892870737,,26.8857,93.625838,junction,0,0,0
n10892870784,n10892870784,,26.883705,93.619315,junction,0,0,0
n10892943818,n10892943818,,26.900554,93.625929,junction,0,0,0
n10892943849,n10892943849,,26.899209,93.62649,junction,0,0,0
n10893051924,n10893051924,,26.585594,92.86232,junction,0,0,0
n10895342956,n10895342956,,26.710549,92.867063,junction,0,0,0
n10895342958,n10895342958,,26.708342,92.851893,junction,0,0,0
n10895342969,n10895342969,,26.688401,92.846007,junction,0,0,0
n10895342973,n10895342973,,26.681648,92.845502,junction,0,0,0
n10895342978,n10895342978,,26.677613,92.846661,junction,0,0,0
n10895342984,n10895342984,,26.671139,92.839713,junction,0,0,0
n10972380780,n10972380780,,25.867799,94.139281,junction,0,0,0
n11014001237,n11014001237,,26.556564,92.927767,junction,0,0,0
n11032046977,n11032046977,,23.340723,91.750232,junction,0,0,0
n11156251127,n11156251127,,26.607605,92.944463,junction,0,0,0
n11169091093,n11169091093,,24.138084,91.683088,junction,0,0,0
n11171299524,n11171299524,,26.519595,92.856862,junction,0,0,0
n11173813320,n11173813320,,23.441013,91.435058,junction,0,0,0
n11174400350,n11174400350,,23.320386,91.7525,junction,0,0,0
n11182692438,n11182692438,,23.315636,91.757016,junction,0,0,0
n11184926047,n11184926047,,26.266757,91.022362,junction,0,0,0
n1118544354,n1118544354,,24.201967,92.111654,junction,0,0,0
n1118544396,n1118544396,,24.351579,92.224276,junction,0,0,0
n1118544423,n1118544423,,24.185744,92.100604,junction,0,0,0
n1118544427,n1118544427,,24.187499,92.099976,junction,0,0,0
n1118544577,n1118544577,,24.203589,92.135659,junction,0,0,0
n1118544718,n1118544718,,24.184326,92.099712,junction,0,0,0
n1118544750,n1118544750,,24.265933,92.152039,junction,0,0,0
n1118558118,n1118558118,,24.265602,92.170131,junction,0,0,0
n1118584496,n1118584496,,24.785277,93.960589,junction,0,0,0
n1118584542,n1118584542,,24.807728,93.915105,junction,0,0,0
n1118584562,n1118584562,,24.822119,93.960585,junction,0,0,0
n1118584799,n1118584799,,24.824186,93.958094,junction,0,0,0
n1118584901,n1118584901,,24.75377,93.980704,junction,0,0,0
n1118585624,n1118585624,,24.347865,92.158398,junction,0,0,0
n1118729593,n1118729593,,27.919078,96.2183,junction,0,0,0
n1118729701,n1118729701,,27.915819,96.17256,junction,0,0,0
n1118730037,n1118730037,,27.915965,96.250529,junction,0,0,0
n1118730148,n1118730148,,27.926621,96.159478,junction,0,0,0
n1118730474,n1118730474,,27.918389,96.22049,junction,0,0,0
n1118730586,n1118730586,,27.916277,96.174258,junction,0,0,0
n1118730654,n1118730654,,27.937849,96.133331,junction,0,0,0
n1118730702,n1118730702,,27.910039,96.097561,junction,0,0,0
n1118731621,n1118731621,,27.915527,96.304244,junction,0,0,0
n1118732509,n1118732509,,27.907823,96.278853,junction,0,0,0
n1118732540,n1118732540,,27.916182,96.252438,junction,0,0,0
n11187346928,n11187346928,,26.331435,88.839326,junction,0,0,0
n11209695200,n11209695200,,24.378336,92.12606,junction,0,0,0
n11209695203,n11209695203,,24.412562,92.146336,junction,0,0,0
n11209921873,n11209921873,,24.190796,91.985762,junction,0,0,0
n11219439286,n11219439286,,24.399817,93.846812,junction,0,0,0
n11219439302,n11219439302,,24.397077,93.844519,junction,0,0,0
n11240835978,n11240835978,,26.32341,89.48485,junction,0,0,0
n11258626192,n11258626192,,23.25266,91.7582,junction,0,0,0
n11267250378,n11267250378,,24.009873,94.128213,junction,0,0,0
n1131436822,n1131436822,,26.562171,88.750864,junction,0,0,0
n1132259624,n1132259624,,26.302405,89.432493,junction,0,0,0
n1132259670,n1132259670,,26.417973,89.330583,junction,0,0,0
n1132259743,n1132259743,,26.418161,89.335207,junction,0,0,0
n1132259798,n1132259798,,26.404764,89.383034,junction,0,0,0
n1132259819,n1132259819,,26.319753,89.454641,junction,0,0,0
n1132310026,n1132310026,,26.756394,88.593574,junction,0,0,0
n1132310042,n1132310042,,26.493978,88.714537,junction,0,0,0
n1132310055,n1132310055,,26.527295,88.719478,junction,0,0,0
n1132310563,n1132310563,,26.602737,88.68499,junction,0,0,0
n1132310570,n1132310570,,26.751363,88.586012,junction,0,0,0
n1132321938,n1132321938,,26.690014,89.432616,junction,0,0,0
n1132322488,n1132322488,,26.719246,89.345953,junction,0,0,0
n1132346982,n1132346982,,26.644807,88.401682,junction,0,0,0
n1132376135,n1132376135,,26.805893,88.28613,junction,0,0,0
n1132376303,n1132376303,,26.782033,88.324625,junction,0,0,0
n1132376446,n1132376446,,26.798497,88.309932,junction,0,0,0
